gameid,winner,teamSize,R_BAIT_TURN,R_BOUNCE_JUKE,R_CHOKE_PINCH,R_CLEAR_SPLIT,R_CLOSE_QUARTERS,R_CONTESTED_SPLIT,R_DELAY_FEAST,R_DENSITY_RAID,R_ESCORT_RING,R_ETA_STRIKE,R_FEAR_RIDGE,R_FORT_KITE,R_GATE_CAMP,R_GIVE_GROUND,R_HOLD_COVER,R_LAST_MAN_RUN,R_LAST_MEAL_STALL,R_LAST_PREY_CARE,R_LAST_STAND,R_NASH_HOLD,R_OPEN_KITE,R_ORBIT_KITE,R_PACK_HUNT,R_PRESSURE_BREAK,R_REGROUP_MASS,R_ROLE_SWEEP,R_SCATTER_RAID,R_SCREEN_HUNT,R_SHADOW_PREY,R_SURVIVE_FEAR,R_WALL_POUNCE,R_switches,P_BAIT_TURN,P_BOUNCE_JUKE,P_CHOKE_PINCH,P_CLEAR_SPLIT,P_CLOSE_QUARTERS,P_CONTESTED_SPLIT,P_DELAY_FEAST,P_DENSITY_RAID,P_ESCORT_RING,P_ETA_STRIKE,P_FEAR_RIDGE,P_FORT_KITE,P_GATE_CAMP,P_GIVE_GROUND,P_HOLD_COVER,P_LAST_MAN_RUN,P_LAST_MEAL_STALL,P_LAST_PREY_CARE,P_LAST_STAND,P_NASH_HOLD,P_OPEN_KITE,P_ORBIT_KITE,P_PACK_HUNT,P_PRESSURE_BREAK,P_REGROUP_MASS,P_ROLE_SWEEP,P_SCATTER_RAID,P_SCREEN_HUNT,P_SHADOW_PREY,P_SURVIVE_FEAR,P_WALL_POUNCE,P_switches,S_BAIT_TURN,S_BOUNCE_JUKE,S_CHOKE_PINCH,S_CLEAR_SPLIT,S_CLOSE_QUARTERS,S_CONTESTED_SPLIT,S_DELAY_FEAST,S_DENSITY_RAID,S_ESCORT_RING,S_ETA_STRIKE,S_FEAR_RIDGE,S_FORT_KITE,S_GATE_CAMP,S_GIVE_GROUND,S_HOLD_COVER,S_LAST_MAN_RUN,S_LAST_MEAL_STALL,S_LAST_PREY_CARE,S_LAST_STAND,S_NASH_HOLD,S_OPEN_KITE,S_ORBIT_KITE,S_PACK_HUNT,S_PRESSURE_BREAK,S_REGROUP_MASS,S_ROLE_SWEEP,S_SCATTER_RAID,S_SCREEN_HUNT,S_SHADOW_PREY,S_SURVIVE_FEAR,S_WALL_POUNCE,S_switches,
1d9e5229-dee9-4fec-a52c-bc773ec89b85,PAPER,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,216,103,0,0,0,0,0,0,583,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,428,0,64,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,205,0,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '34', '544', '159', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '303']"
adbb0fde-27c3-4ce6-a552-daed65b2a802,ROCK,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,19,48,0,0,0,0,0,0,322,37,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,122,0,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '51', '245', '83', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '312']"
1d24a07f-3e95-4a20-88b7-db42d2cb4c39,ROCK,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,110,0,0,0,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,260,39,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,123,0,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '41', '325', '99', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '322']"
4be7de3b-9c0e-479d-a989-7ecb1b431e1d,ROCK,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,37,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,90,81,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,91,0,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '40', '107', '43', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '330']"
9546bbdd-e946-44b6-8a35-a11d45e47462,PAPER,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,55,7,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,213,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,52,0,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '63', '183', '58', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '335']"
d4fbce74-4747-44eb-b37e-9c137d0bc349,ROCK,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,23,80,0,0,0,0,0,0,372,24,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,303,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,85,0,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '373', '109', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '347']"
7326788a-ad47-4fc1-800c-d9947fafc9d1,SCISSORS,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,26,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,93,145,0,0,0,22,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,0,0,0,182,0,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '191', '16', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '355']"
a91ba1fc-9720-42c7-a92e-3dbde20fc4f5,PAPER,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,210,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,36,0,79,0,0,0,0,38,304,79,0,0,23,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,137,0,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '114', '180', '153', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '365']"
a5cebd8c-d1b8-4019-97a5-9a8240e75e04,ROCK,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,28,0,0,0,0,0,0,133,25,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,132,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,0,0,59,0,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '66', '84', '48', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '371']"
c6e93ca6-7ec9-4487-bfb9-afffdc81db0b,ROCK,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,28,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0,98,0,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '144', '19', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '376']"
