gameid,teamSize,forts,duration_s,runcount,winner,rock_final,paper_final,scissors_final,rock_conversions,paper_conversions,scissors_conversions,rock_mode_HUNT,rock_mode_DEFEND,rock_mode_REGROUP,rock_mode_SCATTER,paper_mode_HUNT,paper_mode_DEFEND,paper_mode_REGROUP,paper_mode_SCATTER,scissors_mode_HUNT,scissors_mode_DEFEND,scissors_mode_REGROUP,scissors_mode_SCATTER,total_conversions,wipe_risk_total,wipe_risk_rock,wipe_risk_paper,wipe_risk_scissors,winner_had_fear_at_end,winner_prey_left,fort_near_wins,fort_cover_wins,fort_near_losses,fort_cover_losses,overcrowd_events,avg_pack_density,avg_flank_imbalance,endgame_frames,endgame_seconds,endgame_prey_start,endgame_split_events,endgame_simultaneous,VISION_FAR,NEAR_TARGET_AGGRO,CLUSTER_BONUS,FEAR_CLOSE_MULT,SCATTER_COUNT_THRESHOLD,TARGET_LOCK_TTL,HUNT_ADVANTAGE,COHESION_WEIGHT,PACK_HUNT_MULT,FINISH_BONUS,ESCAPE_BONUS_WEIGHT,FEAR_POP_SCALE
91d9e8ef-52d7-48e2-a516-feac0dff4d10,18,7,54.43,3266,SCISSORS,0,0,24,51,59,67,0.387,0.0,0.224,0.389,0.654,0.032,0.126,0.188,0.49,0.021,0.115,0.374,177,1,0,1,0,0,0,44,119,59,116,134,6.78,0.01,491,8.18,23,0,27,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
0d51c8d2-9d7b-4642-9c5e-e003073fe8c9,12,8,46.0,2760,PAPER,0,54,0,118,136,100,0.46,0.101,0.181,0.257,0.6,0.129,0.168,0.103,0.524,0.134,0.304,0.038,354,1,1,0,0,0,0,94,229,97,233,342,12.78,0.006,500,8.33,40,0,27,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
0c0e07ec-ccd0-401a-adca-94163b14231d,12,6,30.98,1859,ROCK,36,0,0,62,38,50,0.492,0.0,0.258,0.25,0.495,0.056,0.312,0.137,0.688,0.0,0.277,0.035,150,1,0,0,1,0,0,26,106,39,106,138,10.27,0.004,209,3.48,9,0,27,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
0a48669b-fb9a-4e24-8208-ef4be690665b,9,10,27.6,1656,SCISSORS,0,0,36,26,38,50,0.384,0.057,0.335,0.224,0.559,0.106,0.278,0.057,0.622,0.015,0.257,0.106,114,1,0,1,0,0,0,39,89,41,90,107,9.26,0.005,221,3.68,8,0,27,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
0b8a9d6b-482d-4a37-a546-0d215c7443b0,12,9,40.22,2413,SCISSORS,0,0,27,27,36,45,0.393,0.033,0.352,0.222,0.437,0.108,0.217,0.238,0.642,0.0,0.203,0.155,108,1,0,1,0,0,0,40,73,48,68,89,7.0,0.005,518,8.63,26,0,27,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
d5bf4dea-b0ad-4a2d-8d47-ad8fe692ef3e,20,10,38.08,2285,SCISSORS,0,0,36,48,60,72,0.661,0.033,0.144,0.162,0.532,0.105,0.098,0.265,0.707,0.107,0.083,0.103,180,1,0,1,0,0,0,66,139,68,138,161,9.29,0.009,230,3.83,17,0,27,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
43e26996-49d9-4839-85ff-fcb61dcd7f23,8,4,25.02,1501,PAPER,0,60,0,53,73,33,0.53,0.03,0.34,0.1,0.363,0.157,0.317,0.163,0.383,0.123,0.44,0.053,159,1,1,0,0,0,0,10,108,13,106,150,12.58,0.005,291,4.85,37,0,27,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
4330136d-c28b-4cb4-876d-e9ba3fcbd251,7,7,39.72,2383,ROCK,24,0,0,40,24,32,0.528,0.0,0.191,0.281,0.497,0.0,0.392,0.111,0.509,0.019,0.205,0.266,96,1,0,0,1,0,0,22,56,22,57,80,6.55,0.003,613,10.22,22,0,27,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
5355c76e-b889-467f-bc22-2105fc5a3e3a,20,4,61.13,3668,ROCK,21,0,0,51,37,44,0.388,0.015,0.131,0.466,0.458,0.012,0.259,0.271,0.655,0.0,0.14,0.204,132,1,0,0,1,0,0,27,83,38,80,100,6.03,0.003,638,10.63,19,0,27,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
92ce2a0f-c80b-4f4b-a358-f4928afa8824,14,4,54.68,3281,PAPER,0,60,0,150,170,130,0.688,0.107,0.162,0.044,0.434,0.276,0.151,0.139,0.695,0.062,0.206,0.037,450,1,1,0,0,0,0,70,346,90,344,421,11.76,0.003,326,5.43,24,0,27,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
9e22ff86-d657-4610-9638-f3410ac70c7e,6,4,35.52,2131,PAPER,0,42,0,58,72,44,0.538,0.068,0.249,0.146,0.587,0.08,0.232,0.101,0.474,0.019,0.394,0.113,174,1,1,0,0,0,0,21,91,24,89,163,12.06,0.002,496,8.27,37,0,27,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
40321215-45ec-4d32-98b2-c87d2ac913c2,16,5,102.45,6147,ROCK,18,0,0,76,64,70,0.412,0.0,0.064,0.524,0.476,0.0,0.115,0.408,0.599,0.0,0.07,0.331,210,1,0,0,1,0,0,36,121,40,123,131,4.57,0.013,492,8.2,13,0,27,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
4c2620eb-2c7f-4f52-89ae-a10ec027b13b,20,10,32.52,1951,SCISSORS,0,0,48,56,72,88,0.564,0.0,0.344,0.092,0.521,0.026,0.236,0.218,0.674,0.082,0.218,0.026,216,1,0,1,0,0,0,51,160,47,159,207,10.37,0.008,301,5.02,27,0,27,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
efab6d35-2f14-4568-9b0e-f193013b1db2,18,6,30.72,1843,SCISSORS,0,0,60,94,114,134,0.393,0.122,0.26,0.225,0.642,0.098,0.201,0.06,0.751,0.0,0.182,0.068,342,1,0,1,0,0,0,74,296,86,292,322,14.94,0.003,248,4.13,12,0,27,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
f845b807-f319-4452-a8a9-3be7441e7f91,16,9,47.0,2820,SCISSORS,0,0,54,114,132,150,0.466,0.085,0.191,0.257,0.45,0.176,0.163,0.211,0.564,0.133,0.151,0.152,396,1,0,1,0,0,0,164,295,179,306,379,13.45,0.001,215,3.58,33,0,27,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
c0f6a3c9-6af4-47d7-99e2-1e694c42bf66,8,7,23.8,1428,ROCK,48,0,0,69,37,53,0.738,0.0,0.213,0.049,0.566,0.021,0.402,0.01,0.598,0.0,0.238,0.164,159,1,0,0,1,0,0,42,117,41,117,152,10.66,0.007,318,5.3,36,0,27,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
6f52af48-27af-4bf4-8303-93d1183ec5ba,15,9,78.45,4707,SCISSORS,0,0,24,91,99,107,0.606,0.005,0.148,0.241,0.555,0.0,0.117,0.328,0.536,0.045,0.109,0.31,297,1,0,1,0,0,0,137,257,142,254,240,6.74,0.014,312,5.2,13,0,27,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
b8709ecb-a42f-41ef-876b-e5c31250bf28,18,5,70.32,4219,SCISSORS,0,0,45,201,216,231,0.653,0.137,0.113,0.097,0.595,0.09,0.071,0.244,0.701,0.136,0.063,0.1,648,1,0,1,0,0,0,89,504,103,503,610,11.67,0.007,304,5.07,24,0,27,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
e29f2b14-7cb1-4dfa-8755-ec2b82b2da26,12,8,58.27,3496,ROCK,54,0,0,208,172,190,0.629,0.093,0.119,0.159,0.535,0.173,0.207,0.084,0.622,0.099,0.129,0.15,570,1,0,0,1,0,0,253,530,248,527,530,12.24,0.008,421,7.02,20,0,27,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
adbeb1da-aad4-4e81-b7af-e24975b29448,9,8,19.95,1197,PAPER,0,36,0,20,32,8,0.358,0.079,0.463,0.1,0.521,0.046,0.433,0.0,0.412,0.0,0.562,0.025,60,1,1,0,0,0,0,17,36,15,35,57,12.95,0.012,297,4.95,20,0,27,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
7868ebb1-cd2f-4d1c-aade-8daa317ed424,19,9,32.92,1975,SCISSORS,0,0,27,17,26,35,0.506,0.01,0.413,0.071,0.542,0.0,0.263,0.195,0.524,0.048,0.246,0.182,78,1,0,1,0,0,0,14,44,16,45,65,6.96,0.01,495,8.25,18,0,27,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
e745cae9-8d9a-48bb-864a-548104285f88,12,4,45.37,2722,SCISSORS,0,0,57,91,110,129,0.578,0.024,0.288,0.11,0.483,0.061,0.187,0.27,0.593,0.123,0.174,0.11,330,1,0,1,0,0,0,36,173,38,175,304,12.42,0.009,462,7.7,49,0,27,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
5998c42d-8b4e-4088-a4f3-78a8da4a5d3b,18,9,62.05,3723,SCISSORS,0,0,36,90,102,114,0.588,0.119,0.207,0.086,0.6,0.027,0.146,0.227,0.626,0.134,0.137,0.103,306,0,0,0,0,0,0,94,259,102,257,268,8.81,0.01,378,6.3,17,0,27,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
671d7032-3de3-4a3d-a93a-87324f12221c,18,6,28.88,1733,SCISSORS,0,0,54,47,65,83,0.524,0.035,0.406,0.035,0.467,0.023,0.239,0.271,0.585,0.02,0.219,0.176,195,1,0,1,0,0,0,43,116,37,120,185,13.32,0.001,458,7.63,52,0,27,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
