67fadd84-2dca-4eab-94f2-37169b452f6b|165|13|[(725.2, 552.8, 37.6), (474.8, 552.8, 37.6), (725.2, 247.2, 37.6), (474.8, 247.2, 37.6), (811.2, 441.6, 40.2), (388.8, 441.6, 40.2)]|[(0, 264, 193, 5.21566790898798), (1, 1128, 737, 2.838402588224192), (2, 1167, 749, 3.7800724779915225), (0, 34, 383, 5.573919841207791), (1, 1032, 568, 0.4400977751150297), (2, 461, 174, 6.013404135782931), (0, 1092, 593, 0.1005521152497656), (1, 856, 189, 3.0112154762874366), (2, 979, 576, 1.4159993396757307), (0, 1006, 116, 5.106113113063769), (1, 143, 706, 3.960919762359014), (2, 1076, 210, 5.004694589081001), (0, 583, 679, 0.768895015204639), (1, 34, 389, 1.0762800284603633), (2, 1081, 315, 1.7821859605322599), (0, 609, 685, 3.526890648794656), (1, 892, 564, 3.4491775586279783), (2, 905, 31, 0.6805166980850318), (0, 287, 283, 3.9213168781819734), (1, 595, 517, 3.8874722927204686), (2, 660, 354, 1.9149020757496564), (0, 1041, 364, 0.859519699107542), (1, 340, 724, 2.6574251655398298), (2, 1022, 208, 0.37216729332449433), (0, 966, 99, 3.7945212382250717), (1, 95, 402, 0.9830163002362007), (2, 762, 767, 4.335122846203568), (0, 73, 213, 0.1568472438570179), (1, 778, 656, 3.314469447867954), (2, 770, 325, 3.7635566667749276), (0, 301, 627, 2.1294451224451305), (1, 134, 235, 6.073335208335466), (2, 1040, 301, 2.5272189283220317), (0, 307, 318, 5.7530920994628465), (1, 464, 408, 4.398566013158306), (2, 22, 363, 1.12294643026775), (0, 329, 748, 0.8831949477861447), (1, 119, 159, 5.699784036249836), (2, 223, 716, 2.0828211170552544)]
f2436cc5-0d17-407a-adae-579f11c15302|180|19|[(748.6, 555.0, 44.3), (451.4, 555.0, 44.3), (748.6, 245.0, 44.3), (451.4, 245.0, 44.3), (843.6, 430.0, 38.4), (356.4, 430.0, 38.4)]|[(0, 428, 107, 1.427584353327495), (1, 160, 569, 6.0779512424644935), (2, 571, 279, 5.840307502033368), (0, 604, 563, 0.17783632073514896), (1, 562, 346, 5.307035224016825), (2, 877, 42, 0.5806990824359702), (0, 443, 112, 6.070074424433051), (1, 410, 333, 5.315611701067267), (2, 1158, 545, 4.656004780495235), (0, 140, 738, 5.339832210017302), (1, 152, 616, 2.7219119266156295), (2, 558, 42, 2.827961676602945), (0, 933, 22, 6.102827370928161), (1, 647, 92, 3.2485525900509047), (2, 1112, 699, 3.7650762013070054), (0, 867, 169, 4.118544348997253), (1, 102, 474, 0.22363038561805276), (2, 571, 206, 3.49575430113035), (0, 84, 82, 3.690836938805263), (1, 533, 228, 0.37115719046070406), (2, 897, 39, 5.822896284001652), (0, 728, 758, 1.9330772611138793), (1, 20, 400, 4.256090806934724), (2, 285, 641, 5.199302983089398), (0, 661, 54, 0.5812421370937237), (1, 918, 522, 0.6752697717642073), (2, 1130, 582, 0.12938542889757657), (0, 301, 598, 3.162365014735595), (1, 593, 436, 1.5845818342804188), (2, 770, 777, 0.9047714279578603), (0, 164, 225, 4.5078144036160595), (1, 238, 411, 3.180731605330712), (2, 973, 336, 2.0134855533574743), (0, 889, 151, 0.218412708623385), (1, 581, 69, 2.3783944787849256), (2, 226, 273, 4.434315401375914), (0, 269, 154, 1.7546355340525004), (1, 848, 214, 0.49136504548415083), (2, 686, 722, 4.553511159185881), (0, 1083, 411, 4.367630567747167), (1, 544, 22, 6.009081033031332), (2, 39, 65, 0.7428791513107492), (0, 497, 173, 5.8630053581272525), (1, 50, 437, 6.149092510756823), (2, 1173, 78, 4.549882980392456), (0, 1019, 402, 5.794176997703901), (1, 157, 394, 3.37948034292791), (2, 557, 589, 1.756648035490293), (0, 696, 173, 0.45590654444270096), (1, 598, 679, 6.049125104281273), (2, 513, 484, 5.152652173394072), (0, 245, 178, 4.446052163629885), (1, 1124, 237, 3.6725503580732077), (2, 480, 643, 0.20303631634413896), (0, 661, 152, 2.2303898873626524), (1, 875, 89, 4.606318971082258), (2, 677, 624, 2.1829511468924205)]
f673f705-b455-4a16-9295-d104e95d6cfa|255|9|[(748.5, 458.4, 35.8), (451.5, 458.4, 35.8), (748.5, 341.6, 35.8), (451.5, 341.6, 35.8)]|[(0, 957, 261, 5.412721051620132), (1, 46, 630, 5.755248443738235), (2, 625, 181, 1.7284939698646657), (0, 760, 264, 5.018905477324092), (1, 689, 168, 5.288555032368867), (2, 1096, 718, 0.19006828944347873), (0, 876, 515, 2.502370480004707), (1, 148, 410, 0.6584387798857364), (2, 686, 37, 2.8842661764942967), (0, 647, 467, 0.4249958412178753), (1, 1170, 299, 0.7280040723164999), (2, 733, 740, 0.026301262590734422), (0, 75, 777, 5.466165449001324), (1, 704, 249, 1.2549848822357699), (2, 643, 565, 0.6035621408809844), (0, 511, 549, 3.6339534937180646), (1, 770, 555, 4.765552391176037), (2, 659, 381, 3.708649705122694), (0, 576, 326, 1.1844990755387874), (1, 1039, 65, 1.6128400111708467), (2, 136, 641, 0.6472780176760647), (0, 164, 414, 5.298268768410568), (1, 840, 616, 3.3047242509973507), (2, 251, 453, 2.3938465667745707), (0, 38, 739, 0.7317839934108747), (1, 550, 758, 0.3152348507494348), (2, 73, 163, 1.0216879578061637)]
e9198d2a-bb06-452e-8d9e-8da1a8413cee|60|9|[(737.0, 507.3, 35.7), (463.0, 507.3, 35.7), (737.0, 292.7, 35.7), (463.0, 292.7, 35.7), (858.2, 516.1, 27.7), (341.8, 516.1, 27.7)]|[(0, 658, 641, 0.17603594552903687), (1, 688, 24, 2.0980331339755947), (2, 943, 127, 5.141516159361558), (0, 427, 728, 2.734090310335033), (1, 767, 124, 5.37160706825759), (2, 41, 550, 2.4630906364246417), (0, 446, 584, 5.883937936955771), (1, 475, 221, 1.3190409790047137), (2, 1111, 30, 3.63793291885338), (0, 329, 588, 1.8557105520317485), (1, 1172, 362, 4.089304921613049), (2, 334, 394, 5.249114866903236), (0, 681, 551, 2.216577629892336), (1, 915, 730, 2.3632046145164356), (2, 1039, 595, 0.005975398816086449), (0, 834, 289, 1.7021600022256693), (1, 338, 306, 3.2862182259164534), (2, 372, 456, 5.1052959449663655), (0, 47, 322, 2.733175616672191), (1, 406, 733, 0.39645151029603576), (2, 75, 502, 3.3286005573101183), (0, 317, 30, 3.3112980580340463), (1, 659, 750, 3.200683175866691), (2, 882, 692, 3.883299654440555), (0, 1091, 542, 5.078288395726774), (1, 988, 420, 5.674558020239177), (2, 1142, 285, 0.6711292427508363)]
089a62b6-3b77-4339-a112-cdc3ca0a61c1|168|11|[(787.6, 567.5, 42.0), (412.4, 567.5, 42.0), (787.6, 232.5, 42.0), (412.4, 232.5, 42.0), (663.8, 660.2, 43.6), (536.2, 660.2, 43.6)]|[(0, 884, 254, 5.727251707164396), (1, 958, 330, 2.074253824388781), (2, 850, 695, 4.82081421802263), (0, 909, 238, 3.551476520530251), (1, 390, 427, 2.1566885556104225), (2, 880, 435, 4.043884763406866), (0, 274, 690, 0.9478220921312743), (1, 954, 205, 2.9497460456136997), (2, 464, 87, 3.657423171990707), (0, 916, 617, 4.41676900267031), (1, 333, 61, 3.6752398625291867), (2, 998, 710, 2.818177176770464), (0, 630, 91, 5.822638885841214), (1, 687, 125, 5.450112771240696), (2, 774, 26, 5.967692470934019), (0, 199, 82, 3.3167322249818785), (1, 1158, 137, 4.6099078856065825), (2, 701, 780, 3.13751189488463), (0, 253, 568, 6.0293784635892465), (1, 1168, 42, 0.31374196064752174), (2, 658, 534, 6.033586385199696), (0, 613, 727, 5.480979321232249), (1, 319, 550, 2.0488849383057905), (2, 994, 774, 5.57147993382756), (0, 312, 432, 0.10566963241630377), (1, 522, 409, 3.939796126348399), (2, 593, 601, 4.477664756839124), (0, 58, 311, 5.53530528558405), (1, 339, 103, 3.2242256008788646), (2, 144, 540, 1.9378825789509473), (0, 685, 543, 1.999519115373408), (1, 560, 93, 4.535986466583564), (2, 825, 377, 0.43262290467846315)]
090d91d0-6503-4657-9ac6-e41993688434|36|6|[(837.8, 483.4, 28.3), (362.2, 483.4, 28.3), (837.8, 316.6, 28.3), (362.2, 316.6, 28.3), (659.2, 638.1, 42.1), (540.8, 638.1, 42.1), (659.2, 161.9, 42.1), (540.8, 161.9, 42.1), (720.3, 479.3, 29.9)]|[(0, 171, 227, 5.231760532647122), (1, 1047, 325, 3.961505912362494), (2, 1053, 92, 3.9780677256308676), (0, 616, 306, 4.614830401725758), (1, 918, 354, 1.4340029975600759), (2, 748, 759, 3.395633683952737), (0, 242, 187, 5.695309522465905), (1, 654, 289, 3.7853688601152604), (2, 275, 291, 1.8379879529073233), (0, 383, 720, 0.017462004643079482), (1, 538, 422, 0.6938061820352367), (2, 397, 731, 2.479748987764748), (0, 848, 97, 2.1980637057046883), (1, 524, 745, 0.8542489496621427), (2, 312, 578, 4.69058452678242), (0, 552, 458, 0.3331857894970742), (1, 868, 96, 4.2431745104566865), (2, 103, 358, 2.2104260299514924)]
0b63f9c7-735b-4ba3-be39-88ce0b4ff7a8|63|8|[(787.7, 493.2, 30.7), (412.3, 493.2, 30.7), (787.7, 306.8, 30.7), (412.3, 306.8, 30.7), (644.2, 633.1, 31.8), (555.8, 633.1, 31.8), (644.2, 166.9, 31.8), (555.8, 166.9, 31.8), (801.5, 610.1, 31.5), (398.5, 610.1, 31.5)]|[(0, 855, 297, 5.791269964455741), (1, 697, 353, 0.6695043682274059), (2, 655, 400, 5.582992107616328), (0, 84, 215, 3.4247218879074315), (1, 901, 678, 3.622629422998959), (2, 37, 127, 2.416633662407515), (0, 1011, 181, 1.820990075263023), (1, 232, 563, 0.719517539939661), (2, 851, 410, 1.9488222669255242), (0, 869, 66, 3.8885242679770813), (1, 312, 757, 4.251467878953659), (2, 845, 333, 5.363418234821564), (0, 155, 65, 0.488254162144097), (1, 290, 186, 3.1320703124441276), (2, 63, 83, 0.7987121483651274), (0, 142, 539, 1.4066380527186966), (1, 421, 109, 5.703021549999766), (2, 783, 728, 4.962308171231391), (0, 778, 766, 5.165908311625578), (1, 562, 426, 4.042893283982392), (2, 69, 164, 3.585303291725102), (0, 140, 564, 3.1269291893069044), (1, 513, 702, 0.013156013062291918), (2, 893, 523, 3.947924170338101)]
a57f4d3d-7c22-4ff0-bdb8-8051a5d2da0c|48|7|[(636.4, 602.5, 43.1), (563.6, 602.5, 43.1), (636.4, 197.5, 43.1), (563.6, 197.5, 43.1), (808.9, 530.6, 35.3), (391.1, 530.6, 35.3), (808.9, 269.4, 35.3), (391.1, 269.4, 35.3)]|[(0, 40, 23, 5.210482160078363), (1, 30, 311, 4.363360289419116), (2, 957, 228, 1.5237635023876834), (0, 708, 27, 2.1478844699145756), (1, 1034, 697, 4.619190835546537), (2, 306, 217, 1.22727489357836), (0, 705, 303, 2.4328704517967186), (1, 963, 133, 1.0064041319026258), (2, 1066, 236, 1.5788191866781813), (0, 1120, 32, 2.6615603858212014), (1, 1031, 561, 0.7725434897935362), (2, 396, 183, 1.5076124151307706), (0, 540, 506, 6.097105801205767), (1, 115, 237, 1.3252886392681775), (2, 119, 184, 4.000211646530553), (0, 658, 339, 2.8636969558447234), (1, 1049, 514, 5.9828762925921195), (2, 252, 330, 5.355153397703736), (0, 535, 397, 4.260448073017685), (1, 829, 62, 3.785882843919826), (2, 527, 274, 4.366139027553927)]
04569f38-4551-4e29-b892-a1c28348b94d|72|12|[(704.8, 616.8, 38.8), (495.2, 616.8, 38.8), (704.8, 183.2, 38.8), (495.2, 183.2, 38.8), (781.3, 497.1, 44.3), (418.7, 497.1, 44.3)]|[(0, 265, 471, 5.594583018915548), (1, 556, 743, 1.0575084499233283), (2, 1168, 685, 2.7722564779125154), (0, 578, 388, 1.336173290497564), (1, 883, 482, 0.3550450539641638), (2, 335, 436, 6.250198004082284), (0, 653, 487, 5.742758249029545), (1, 161, 87, 4.4690507143087155), (2, 651, 547, 5.559448505541702), (0, 817, 195, 4.8449673949224925), (1, 378, 581, 4.402859857095615), (2, 76, 315, 5.409527999067379), (0, 612, 89, 4.180353052928544), (1, 233, 452, 2.5066705050185822), (2, 638, 525, 3.4389634339091306), (0, 775, 776, 2.0503900685870438), (1, 1148, 292, 0.1742080735454496), (2, 631, 327, 4.506286956739225), (0, 1118, 85, 5.338117671860548), (1, 850, 682, 1.1013456010739853), (2, 794, 711, 2.854682558994581), (0, 1072, 563, 0.017537394374914365), (1, 306, 330, 6.0402346555913935), (2, 974, 734, 1.7677171298967589), (0, 986, 677, 1.7354176064903017), (1, 1124, 616, 0.5945627326345206), (2, 1100, 456, 3.9963362295359195), (0, 813, 630, 2.039992377988888), (1, 91, 489, 5.976867840699506), (2, 658, 440, 0.44391271673895155), (0, 148, 594, 4.892414476518139), (1, 464, 398, 4.451207191117893), (2, 633, 347, 2.522499583318234), (0, 218, 201, 4.8267619783446865), (1, 353, 88, 2.037225074063405), (2, 689, 444, 1.9771877831524012)]
671bea15-f8da-4680-b2b3-f3a84fa82d4a|357|16|[(640.7, 670.3, 44.7), (559.3, 670.3, 44.7), (640.7, 129.7, 44.7), (559.3, 129.7, 44.7), (698.0, 506.3, 45.3), (502.0, 506.3, 45.3)]|[(0, 573, 331, 2.742383220832244), (1, 260, 502, 4.459415048016689), (2, 860, 572, 1.7143850820613231), (0, 49, 302, 2.3249272841715163), (1, 955, 609, 1.9164810733493276), (2, 204, 364, 6.270818648666884), (0, 817, 685, 1.1120541829769683), (1, 68, 227, 3.323141403919204), (2, 672, 337, 3.3082059528222816), (0, 710, 757, 2.7535820787785052), (1, 411, 101, 5.033632436650653), (2, 708, 333, 2.249061941101356), (0, 445, 265, 1.8045473215233698), (1, 541, 44, 1.3982455231597022), (2, 1142, 129, 4.8363723558648), (0, 803, 665, 5.120566799935584), (1, 974, 598, 0.812724509353088), (2, 1041, 440, 0.02360851131429276), (0, 422, 233, 0.12871409570453243), (1, 1119, 507, 2.0912878506121193), (2, 900, 241, 5.063085028067829), (0, 286, 265, 6.04350540520592), (1, 77, 469, 6.227113510601292), (2, 245, 460, 0.8971716388082719), (0, 77, 494, 0.5126310417291589), (1, 251, 66, 0.09983564783439385), (2, 757, 414, 3.1017721554533604), (0, 980, 656, 1.8344243557849533), (1, 426, 702, 4.693162632569032), (2, 717, 705, 4.726175841664023), (0, 795, 156, 5.548493085545149), (1, 995, 685, 4.620595542337098), (2, 444, 379, 4.611098215492234), (0, 204, 747, 5.282746264968721), (1, 948, 495, 2.390366465189711), (2, 796, 660, 6.17962068606196), (0, 972, 341, 0.7779918464432866), (1, 130, 548, 4.938408029920593), (2, 1122, 622, 2.2350137366548184), (0, 436, 68, 0.02769594089061006), (1, 710, 179, 2.8704972473534323), (2, 985, 267, 0.08584068235259038), (0, 598, 422, 0.05128649656325548), (1, 609, 458, 2.7361299225800204), (2, 1150, 205, 5.767382560014998), (0, 301, 51, 3.6557812868505426), (1, 1120, 526, 1.7334627032312768), (2, 1163, 381, 0.19346363135288508)]
